Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Bike Cadence,Max Bike Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cycling,2023-09-27 16:47:17,false,"Turku Pyöräily","23,72","437","01:02:30","122","146","2,5","--","--","22,8","40,3","119","97","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","20,0","0:00","No","19:05.35","3","26,0","01:01:37","01:02:30","71","114"
Cycling,2023-09-27 06:46:59,false,"Rusko Pyöräily","23,66","372","01:05:41","114","145","2,2","--","--","21,6","33,0","87","111","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","18,0","0:00","No","21:15.99","3","28,0","01:04:14","01:05:41","23","74"
Cycling,2023-09-22 16:47:51,false,"Turku Pyöräily","23,75","458","01:02:03","125","157","3,0","--","--","23,0","39,1","122","101","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","23,0","0:00","No","19:29.28","3","27,0","01:01:32","01:02:03","24","69"
Cycling,2023-09-22 06:53:28,false,"Rusko Pyöräily","23,66","508","01:05:13","130","154","3,0","--","--","21,8","32,7","104","129","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","17,0","0:00","No","20:50.09","3","28,0","01:03:43","01:05:13","20","69"
Cycling,2023-09-08 16:30:53,false,"Turku Pyöräily","23,74","417","01:12:38","117","138","2,3","--","--","19,6","38,3","112","95","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","24,0","0:00","No","23:13.50","3","28,0","01:10:19","01:12:38","69","109"
Cycling,2023-09-08 06:55:36,false,"Rusko Pyöräily","23,70","487","01:07:06","136","185","5,0","--","--","21,2","31,9","85","117","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","19,0","0:00","No","21:19.22","3","27,0","01:05:04","01:07:06","-218","-162"
Cycling,2023-09-07 07:11:33,false,"Rusko Pyöräily","21,24","258","01:00:55","93","119","1,4","--","--","20,9","38,8","281","100","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","13,0","0:00","No","14:46.67","3","27,0","01:00:13","01:15:34","-201","-165"
Cycling,2023-08-18 16:23:05,false,"Turku Pyöräily","23,74","501","01:11:07","118","137","2,7","--","--","20,0","38,2","282","106","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","21,0","0:00","No","22:14.96","3","26,0","01:09:26","01:11:07","-192","-149"
Cycling,2023-08-18 06:57:59,false,"Rusko Pyöräily","23,64","531","01:03:30","124","153","3,0","--","--","22,3","33,9","95","125","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","16,0","0:00","No","20:50.52","3","26,0","01:02:46","01:03:30","-203","-148"
Cycling,2023-08-02 16:47:06,false,"Nousiainen Pyöräily","4,42","60","00:14:42","87","110","1,1","--","--","18,0","31,1","8","23","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","22,0","0:00","No","14:42.03","1","24,0","00:14:33","00:14:42","41","59"
Cycling,2023-08-02 12:29:46,false,"Rusko Pyöräily","4,40","142","00:18:05","115","125","2,0","--","--","14,6","27,0","289","11","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","24,0","0:00","No","18:04.80","1","28,0","00:14:58","00:18:05","2","20"
Indoor Cycling,2023-07-30 20:27:45,false,"Sisäpyöräily","0,00","157","00:15:02","137","151","3,0","--","--","--","--","--","--","0,00","0,0","0,0","0","83","108","0,0","0","0","0,0","0,0","1233","0","0","0","0:00","29,0","0:00","No","15:01.59","1","30,0","00:00:00","00:15:02","1","6"
Indoor Cycling,2023-07-30 20:17:59,false,"Sisäpyöräily","0,00","48","00:07:16,2","104","135","1,4","--","--","--","--","--","--","0,00","0,0","0,0","0","80","109","0,0","0","0","0,0","0,0","150","0","0","0","0:00","30,0","0:00","No","07:16.20","1","31,0","00:00:00","00:07:16,2","6","6"
Cycling,2023-07-21 15:34:29,false,"Nousiainen Pyöräily","4,40","46","00:13:43","80","92","1,1","--","--","19,2","31,1","12","24","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","25,0","0:00","No","13:43.36","1","28,0","00:13:26","00:13:43","44","60"
Cycling,2023-07-21 12:43:19,false,"Rusko Pyöräily","4,47","78","00:20:05","86","104","1,1","--","--","13,3","28,6","22","11","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","26,0","0:00","No","20:05.44","1","28,0","00:14:43","00:20:05","44","61"
Cycling,2023-07-13 18:41:28,false,"Rusko Pyöräily","8,04","292","01:08:31","93","117","1,3","--","--","7,0","26,6","377","268","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","21,0","0:00","No","01:08:30.73","1","28,0","00:39:06","01:27:44","-139","105"
Cycling,2023-07-11 09:57:11,false,"Lieto Pyöräily","50,00","750","02:54:19","97","144","1,6","--","--","17,2","44,3","298","267","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","23,0","0:00","No","05:08.93","7","33,0","02:33:39","06:13:58","46","106"
Cycling,2023-07-09 13:44:30,false,"Rusko Pyöräily","13,63","187","00:39:28","96","126","1,4","--","--","20,7","29,9","63","59","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","22,0","0:00","No","15:03.96","2","31,0","00:38:00","01:25:58","60","78"
Cycling,2023-07-09 12:16:54,false,"Rusko Pyöräily","10,00","267","01:09:58","87","144","1,9","--","--","8,6","29,5","42","214","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","21,0","0:00","No","08:11.30","2","27,0","00:40:49","01:09:58","-9","232"
Cycling,2023-06-12 16:17:26,false,"Turku Pyöräily","23,73","507","01:04:33","121","145","3,0","--","--","22,1","40,0","115","89","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","24,0","0:00","No","19:12.62","3","28,0","01:01:50","01:04:33","227","276"
Cycling,2023-06-12 07:09:49,false,"Rusko Pyöräily","23,72","462","01:06:39","117","146","2,6","--","--","21,4","31,7","85","114","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","19,0","0:00","No","21:26.93","3","27,0","01:05:26","01:06:39","19","69"
Cycling,2023-06-11 18:31:23,false,"Rusko Pyöräily","15,22","217","00:46:51","96","112","1,3","--","--","19,5","33,2","82","86","0,00","0,0","0,0","0","--","--","0,0","0","0","0,0","0,0","--","0","0","0","0:00","19,0","0:00","No","19:12.69","2","25,0","00:46:51","00:46:51","196","239"
